217 3 5 5 5 1 100000 1e-05
0 54 -1
0.0004307364 -0.000254576618 0.0 1.74615562
-0.00342541281 0.000149294705 1.74615216 1.74615562
-0.00156871765 0.000025693198 1.86672914 1.74737519
-0.00211507268 0.000514328131 1.99728358 1.74685343
-0.00160162139 0.000378755212 2.10127568 1.74773184
-0.00181435316 0.00142179814 2.26850891 1.74665495
-0.0017238406 0.000283232192 2.38562298 1.74696161
-0.00184131402 -0.000399939279 2.48964214 1.74717827
-0.00148802146 0.00209258683 2.61223507 1.74676628
-0.00140591478 -0.000856098544 2.75329924 1.74716337
-0.00226264889 0.000389055145 2.86214876 1.74740512
-0.00185360783 -0.00108738698 3.11142874 1.74681385
-0.000553321268 -0.000469763065 3.22328949 1.74697663
-0.00125451223 0.000408051186 3.40791941 1.7456894
-0.00239265058 -0.00113454065 3.56413436 1.74562611
-0.00257089664 -0.00117456261 3.66643238 1.74621048
-0.0038393056 0.00061122363 3.78101945 1.74590626
-0.00315849995 -0.000985769555 3.93476439 1.74565297
-0.00382445799 -0.00122888212 4.04711485 1.74510644
-0.00339185796 -0.000995438546 4.21295738 1.74560034
-0.000264581555 -0.0019166572 4.37186623 1.74670915
0.000195792483 0.00123839255 4.4979372 1.74673507
-0.000348135334 -0.00246963953 4.62187624 1.74640408
0.000830726989 0.000913953874 4.77604246 1.74612967
0.00176699588 -0.000221714377 4.93609047 1.74532198
0.00162883801 0.000463062519 5.09838915 1.74568493
-0.000242843074 -0.000983518781 5.24814653 1.74731365
-0.000548987649 0.00245863548 5.41971064 1.74695887
-0.00358118233 0.000586436072 5.66384363 1.74649203
-0.00350544718 0.00180584984 5.77850294 1.74594824
-0.00382121978 -0.000295743812 5.9116354 1.74541456
-0.0027884345 0.000459904113 6.04135513 1.74628171
-0.00251674023 0.00226379093 6.14239836 1.74661476
-0.0035608795 -0.00217284309 6.2716794 1.74480841
-0.00244959677 0.00116870948 6.42699432 1.74655746
-0.00385392061 0.00102806115 6.56804085 1.74532445
-0.00160951656 -0.00211826642 6.7318306 1.74634981
-0.00334021053 0.000138620977 6.84835243 1.74595305
-0.00249051163 -0.00258181291 7.01178265 1.74652775
-0.00329912594 -0.000705595827 7.13635826 1.74600224
-0.00256828731 -0.00048333552 7.30854654 1.74696451
-0.00255782786 0.000277165556 7.43116236 1.74620492
-0.00201871688 -0.000809419085 7.59558201 1.74715877
-0.00199922989 -0.000116255629 7.78362322 1.74669603
-0.00138665468 -0.00107621052 7.91110086 1.74786015
0.000363981846 0.00123695901 8.01154613 1.74677044
0.00161652488 -0.00122639327 8.14114189 1.74700217
-0.00138411869 0.000880439125 8.28050041 1.74732558
-0.00227285293 -0.0009302533 8.43665504 1.74717646
-0.00271089957 0.000210823287 8.54013634 1.74626959
-0.00357180159 0.000708207488 8.65483761 1.7460278
-0.00444237096 0.00120814203 8.76207447 1.74577801
-0.00453647459 0.000494246488 8.8804369 1.7452949
-0.00610728422 0.000480298884 9.06968689 1.74418556
1 93 0
-0.00610728422 0.000480298884 9.06968689 1.74418556
-0.00396627514 -0.00260017929 9.24763393 1.7450832
0.00846029073 -0.00641965307 9.36395264 1.73852071
0.397731096 0.00350191467 9.54041767 1.37020639
0.510495782 0.0024126037 9.59282875 1.26807624
0.748835385 0.0154746827 9.70476818 1.05439368
1.05240583 -0.000218119138 9.79401302 0.787594805
1.20666957 0.000437574636 9.80863762 0.655520698
1.32306457 0.00706624519 9.8731699 0.57214302
1.42328632 -0.00308584236 9.91659355 0.499037913
1.5439769 0.0018772654 9.95456314 0.418557851
1.64525044 -0.00404639076 9.98149872 0.359101664
1.76308298 0.00136499596 9.99260616 0.301120615
1.86806381 -0.0024793453 9.99285507 0.258917559
2.01563835 -0.000361265527 10.0011415 0.214302419
2.13619161 0.00245510438 9.99785614 0.194401404
2.26173067 0.00232708547 10.0040512 0.188269437
2.37797904 0.00121538935 10.000742 0.186565276
2.50304675 0.00109247875 9.99870777 0.185681357
2.60662198 0.00120833283 10.000495 0.185670425
2.72787094 -0.00114479894 10.0024443 0.18825176
2.84626317 0.0025040519 10.0004511 0.189531177
2.96822858 0.000737696129 10.0020409 0.190379476
3.12079167 0.000637895835 9.9992981 0.192909889
3.22590256 0.00236688857 9.99954987 0.19375866
3.38371706 0.0044635497 10.0022783 0.197894956
3.49925017 -0.000203178293 9.99951172 0.196741941
3.62267923 0.0000361903913 9.99970627 0.197485934
3.73071957 -0.00431290036 10.0007343 0.201192612
3.83255959 -0.000602479035 9.99967957 0.198522993
3.9869976 0.000290666154 10.0009995 0.199205356
4.09518623 -0.00188946561 9.99772453 0.199918309
4.20671701 0.000637446763 9.99999237 0.197160963
4.35401821 0.000542038411 10.0018797 0.198141798
4.46820641 0.0000660192891 10.0002699 0.198925396
4.57222605 -0.000418757496 10.0006886 0.198743911
4.72214985 0.000843400718 10.0055857 0.201980763
4.85264158 -0.00105229975 9.99671078 0.19820511
4.95349169 0.0011719194 9.99770164 0.198949741
5.0565443 -0.000586607144 9.99966145 0.197116771
5.16315937 0.00117681408 10.000886 0.197800678
5.26438189 -0.00399247045 9.99820137 0.200849297
5.38958979 0.00155428809 9.99877739 0.198305793
5.53558302 -0.000694054354 9.99820709 0.201312632
5.64345503 0.00135084661 10.0009031 0.197873092
5.78938437 -0.000611463562 10.0050373 0.200537451
5.92287445 0.0000333543467 10.0004768 0.197110461
6.07442808 0.00196664967 9.99949932 0.198300341
6.22042036 -0.00011388235 9.99634933 0.20098254
6.32989693 0.00499797007 9.99797058 0.200815223
6.45742941 0.00301625812 10.004612 0.200136358
6.56998253 0.00120966032 9.99992085 0.19669572
6.68709421 0.00200312492 9.99995613 0.196203712
6.80986547 0.001324196 10.0035973 0.199447826
6.92138433 0.00119367696 9.99876308 0.197438011
7.05022717 0.00509393169 10.0003719 0.20126088
7.18186426 0.00162990892 9.99952507 0.197360761
7.31502533 0.00173495046 10.0021095 0.198064879
7.45720434 0.00367017696 9.99478817 0.200207207
7.57978725 0.0000785946177 10.0024405 0.197590554
7.69424152 0.0016857055 10.000473 0.197281425
7.79526615 -0.000188948165 9.99944115 0.197302782
7.92026901 -0.0041030827 9.9990015 0.196706255
8.03968906 0.00157063268 9.99998474 0.198356782
8.16550446 0.000548362324 9.99996376 0.196063537
8.28452015 0.000788502686 9.99957371 0.196285528
8.49699497 0.00847844407 9.99547005 0.202980572
8.60898209 0.000531997648 9.99950218 0.196153416
8.78010464 -0.000446869351 10.0026264 0.196685578
8.8946085 0.00215511653 9.9997406 0.197983883
9.04569626 0.00248644897 9.99874592 0.197523376
9.1527071 0.000677807489 10.0005941 0.195234678
9.26133537 -0.00121743733 9.99831581 0.196084493
9.40660191 -0.00364688737 9.99314308 0.196521604
9.55894852 0.00317213964 10.0060301 0.195407849
9.6929884 0.00202759844 9.99613857 0.19749349
9.79800224 -0.000206073586 9.99909401 0.19714453
9.90828323 0.00385431247 9.99918175 0.191875302
10.0367146 0.00376960309 9.99852753 0.198251503
10.180851 0.00327214901 9.9942646 0.203446846
10.2933235 -0.00236362428 10.0018244 0.193836501
10.412838 -0.00262443279 9.99725533 0.197975796
10.5402794 -0.00200777221 10.0010338 0.198598125
10.6433678 0.000177564463 9.99907112 0.195788615
10.7669468 0.000429813634 10.0002651 0.194824251
10.8843336 -0.000539281697 10.0024929 0.197403329
11.0143204 0.000633594696 9.99825096 0.194960257
11.1471729 0.0000386285901 9.99806309 0.196984496
11.3103695 -0.0030724674 10.0015059 0.200738389
11.4197235 0.00175121543 10.0013113 0.198247828
11.5783176 -0.000385185791 10.0039291 0.200962961
11.7145185 -0.00112045836 10.0027637 0.200003673
12 -0.0000227990804 10.0000114 0.198546794
2 70 0
-0.00610728422 0.000480298884 9.06968689 1.74418556
-0.00529005285 0.000550849945 9.18920135 1.7448331
-0.00255931332 0.000973017188 9.30387211 1.7468976
-0.000225681229 0.00128183328 9.42263794 1.74780248
