time_step Pventricular Vventricular Paorta Qaorta Patrial Vatrial Qatrial
73 26024.7375 159.384499 26204.1877 1.20492213 19761.4435 98.8072175 0
74 25971.1973 159.374566 26386.0334 0.781698528 19928.1095 99.6405475 0
75 25398.4718 159.369388 25917.4373 0.254009311 20094.7755 100.473877 0
76 24455.5202 159.368785 24834.2054 -0.133501643 20261.4415 101.307207 0
77 23356.7082 159.369452 -37232.5697 0 20428.1075 102.140537 0
78 22393.3291 159.373542 23209.0422 -0.817852811 20594.7735 102.973867 0
79 21810.8344 159.377631 -9272.34414 0 20761.4395 103.807197 0
80 21723.8505 159.37658 21510.7 0.21011852 20928.1055 104.640527 0
81 22084.2464 159.370854 21353.7092 0.93516008 21094.7715 105.473857 0
82 22711.4732 159.359361 22276.3121 1.36341585 21261.4375 106.307187 0
83 23407.4373 159.345019 23258.2512 1.5050364 21428.1035 107.140517 0
84 23902.3872 159.330839 24068.4719 1.33097653 21594.7695 107.973847 0
85 24161.7353 159.318682 24384.2117 1.10029806 21761.4355 108.807177 0
86 24237.2923 159.308621 24417.3774 0.911914339 21928.1015 109.640507 0
87 24262.4911 159.299793 24312.3139 0.853829916 22094.7675 110.473837 0
88 24376.5837 159.290842 24286.0701 0.936215512 22261.4335 111.307167 0
89 24651.9491 159.280686 24485.2073 1.0949823 22428.0995 112.140497 0
90 25057.6521 159.269075 24917.4119 1.22733619 22594.7655 112.973827 0
91 25495.6316 159.256617 25450.8145 1.26425377 22761.4315 113.807157 0
92 25765.3457 159.244795 25921.3363 1.10018841 22928.0975 114.640487 0
93 25792.2046 159.235009 26027.0716 0.857049434 23094.7635 115.473817 0
94 25576.4202 159.227679 25816.2049 0.608848967 23261.4295 116.307147 0
95 25221.705 159.222332 25361.5757 0.460545037 23428.0955 117.140477 0
96 24890.5756 159.217658 24868.5544 0.474252827 23594.7615 117.973807 0
97 24732.0069 159.212086 24557.9664 0.6401833 23761.4275 118.807137 0
98 24816.5261 159.204473 24566.4042 0.882396525 23928.0935 119.640467 0
99 25131.7939 159.19447 24888.2941 1.11812501 24094.7595 120.473797 0
100 33495.5942 159.142958 25429.9823 9.18444327 24261.4255 121.307127 0
101 38163.9664 159.068841 41705.5805 5.63891239 24428.0915 122.140457 0
102 46888.3324 158.991818 42764.3403 9.76560564 24594.7575 122.973787 0
103 59885.4403 158.872236 55513.6083 14.1509178 24761.4235 123.807117 0
104 76617.0261 158.711244 72748.824 18.0472977 24928.0895 124.640447 0
105 95883.0008 158.517184 93210.3871 20.7647024 25094.7555 125.473777 0
106 116107.928 158.303913 115042.643 21.8896279 25261.4215 126.307107 0
107 135724.158 158.087463 136282.488 21.4002965 25428.0875 127.140437 0
108 153531.977 157.882209 155352.817 19.6505571 25594.7535 127.973767 0
109 169721.766 157.693769 171406.64 18.0374245 25761.4195 128.807097 0
110 182624.201 157.530009 186006.768 14.7144985 25928.0855 129.640427 0
111 193742.021 157.392178 195658.621 12.8517028 26094.7515 130.473757 0
112 203861.115 157.269031 204986.568 11.7778529 26261.4175 131.307087 0
113 213723.806 157.152825 214092.118 11.4632316 26428.0835 132.140417 0
114 223822.366 157.03718 223678.922 11.6657689 26594.7495 132.973747 0
115 234328.053 156.918535 233996.417 12.0633402 26761.4155 133.807077 0
116 245151.844 156.796278 244899.473 12.3880655 26928.0815 134.640407 0
117 256702.777 156.668669 256039.697 13.1337279 27094.7475 135.473737 0
118 267572.966 156.540632 268314.066 12.4735283 27261.4135 136.307067 0
119 278357.541 156.41632 278526.194 12.3889476 27428.0795 137.140397 0
120 289154.462 156.29235 289226.605 12.4049893 27594.7455 137.973727 0
121 300117.561 156.167431 300037.603 12.5788131 27761.4115 138.807057 0
122 311341.508 156.040267 311167.081 12.8539549 27928.0775 139.640387 0
123 322782.291 155.910546 322653.358 13.0902598 28094.7435 140.473717 0
124 334249.714 155.779413 334315.792 13.1363216 28261.4095 141.307047 0
125 346097.303 155.646049 345818.067 13.5366228 28428.0755 142.140377 0
126 356804.224 155.516339 358047.811 12.4052383 28594.7415 142.973707 0
127 366912.363 155.39539 367641.656 11.7847108 28761.4075 143.807037 0
128 376421.87 155.280661 377150.455 11.1609953 28928.0735 144.640367 0
129 385365.175 155.172028 386061.476 10.5655415 29094.7395 145.473697 0
130 393627.361 155.069943 394436.226 9.85149651 29261.4055 146.307027 0
131 400765.876 154.977268 402016.224 8.68346407 29428.0715 147.140357 0
132 405906.708 154.900786 408034.455 6.61295235 29594.7375 147.973687 0
133 407771.66 154.851661 411186.512 3.21215184 29761.4035 148.807017 0
134 404623.584 154.845625 409788.445 -2.00493346 29928.0695 149.640347 0
135 395271.767 154.855649 322537.312 0 30094.7355 150.473677 0
136 379053.561 154.937509 395224.251 -16.3719945 30261.4015 151.307007 0
137 355806.941 155.019369 364995.917 0 30428.0675 152.140337 0
138 326325.834 155.019369 356957.917 0 30594.7335 152.973667 0
139 292605.65 155.019369 338648.273 0 30761.3995 153.806997 0
140 256935.422 155.019369 315813.3 0 30928.0655 154.640327 0
141 221660.92 155.019369 288788.895 0 31094.7315 155.473657 0
142 187024.464 155.019369 259071.655 0 31261.3975 156.306987 0
143 158028.794 155.019369 227748.781 0 31428.0635 157.140317 0
144 133257.556 155.019369 197185.507 0 31594.7295 157.973647 0
145 112544.785 155.019369 168512.756 0 31761.3955 158.806977 0
146 95313.7399 155.019369 142438.146 0 31928.0615 159.640307 0
147 80868.5297 155.019369 119250.078 0 32094.7275 160.473637 0
148 68630.7378 155.019369 98915.6827 0 32261.3935 161.306967 0
149 58257.0926 155.019369 81224.0218 0 32428.0595 162.140297 0
150 49195.1936 155.019369 65920.964 0 32594.7255 162.973627 0
151 42394.6322 155.019369 52655.0229 0 32761.3915 163.806957 0
152 37291.5284 155.019369 41499.3841 0 32928.0575 164.640287 0
153 33721.7734 155.019369 32319.2952 0 33094.7235 165.473617 0
154 31377.4003 155.030419 33583.6732 -2.21001498 33261.3895 166.306947 0
155 29892.7574 155.220061 10471.2578 0 33392.3373 166.961687 35.7181978
156 28921.1087 155.803691 29801.2183 -0.99059895 33443.2679 167.216339 80.0172145
157 28196.0858 156.853748 -961.265992 0 33400.913 167.004565 129.003685
158 27553.5842 158.406319 28221.4464 -0.94054524 33258.0053 166.290026 180.570034
159 27112.6914 160.471312 -8065.06022 0 33012.6132 165.063066 231.488023
160 26913.0317 163.024345 27267.7283 -0.779015708 32669.4517 163.347258 278.339492
161 27023.3541 166.006472 -11829.7079 0 32240.4713 161.202357 317.306869
162 27426.7096 169.320593 27276.0215 -0.389174881 31744.7023 158.723512 345.128144
163 28005.8277 172.848913 27036.4617 0.00269934473 31206.0908 156.030454 360.149402
164 28582.7993 176.463247 27852.8277 0.139298745 30649.7481 153.24874 362.859315
165 28999.933 180.054347 28488.4397 0.0635999239 30097.9912 150.489956 355.563587
166 29172.8146 183.539815 28786.0835 -0.112605976 29567.6125 147.838063 341.481032
167 29222.4271 186.861377 28750.4276 -0.168815549 29070.2475 145.351237 322.550048
168 29312.787 189.970417 28711.5686 -0.0559630374 28615.3303 143.076652 299.033108
169 29632.2307 192.811435 28876.5229 0.25445186 28213.5942 141.067971 269.368975
170 30273.0518 195.310042 29455.3607 0.675920945 27879.6084 139.398042 231.282853
171 31160.6567 197.375605 30447.8223 1.05327343 27631.4327 138.157163 183.558859
172 32055.9519 198.920309 31623.2097 1.22724287 27486.8774 137.434387 127.662447
173 32638.3951 199.888827 32591.3237 1.10605557 27457.5064 137.287532 68.3744747
174 32638.0859 200.286522 32956.9235 0.712375091 27542.815 137.714075 12.9829894
175 31904.962 200.196071 32492.9864 0.129183011 27726.7297 138.633648 -30.231689
176 30697.5369 200.046007 31188.9343 -0.348050049 27923.6274 139.618137 0
177 29318.3969 200.047747 -31020.7668 0 28090.2934 140.451467 0
178 28109.1492 200.053089 29175.3111 -1.06842916 28256.9594 141.284797 0
179 27385.163 200.110749 -2935.25265 0 28413.1618 142.065809 10.4635311
180 27298.5682 200.275382 27110.6121 0.162372716 28546.7389 142.733694 22.6254606
181 27788.3452 200.534455 26922.3367 0.986277264 28660.4416 143.302208 30.3377516
182 28621.0592 200.825093 28077.1501 1.48021207 28766.5135 143.832567 30.2564377
183 29536.8661 201.070814 29321.0729 1.65013129 28880.9049 144.404524 22.0181192
184 30185.0386 201.210343 30360.4743 1.44349237 29016.5716 145.082858 8.98118084
185 30515.8423 201.216664 30775.0111 1.1731569 29179.3566 145.896783 -5.10016686
186 30607.7134 201.180584 30833.5996 0.94280265 29351.1227 146.755614 0
187 30639.8559 201.17154 30708.3301 0.866019986 29517.7887 147.588944 0
188 30784.2623 201.162359 30671.9724 0.970169075 29684.4547 148.422274 0
189 31132.3391 201.151655 30923.9291 1.17063189 29851.1207 149.255604 0
190 31645.0254 201.139113 31470.116 1.33770681 30017.7867 150.088934 0
191 32198.4847 201.125503 32144.0783 1.3842628 30184.4527 150.922264 0
192 32539.4508 201.112697 32738.6323 1.17701012 30351.1187 151.755594 0
193 32573.7155 201.102462 32872.4926 0.869913165 30517.7847 152.588924 0
194 32301.5364 201.09533 32606.5006 0.556447608 30684.4507 153.422254 0
195 31853.8882 201.090702 32032.6542 0.369158164 30851.1167 154.255584 0
